date,location,cases,deaths,tests,percent_positivity,CFR
2020-02,Eswatini,0.0,0.0,0.0,NaN,NaN
2020-02,Ethiopia,0.0,0.0,0.0,NaN,NaN
2020-02,Europe,195.0,9.0,0.0,NaN,0.046153846153846156
2020-02,European Union,142.0,7.0,0.0,NaN,0.04929577464788732
2020-02,Faeroe Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Falkland Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Fiji,0.0,0.0,1.0,0.0,NaN
2020-02,Finland,2.0,0.0,382.0,0.005235602094240838,0.0
2020-02,France,13.0,0.0,0.0,NaN,0.0
2020-02,French Guiana,0.0,0.0,0.0,NaN,NaN
2020-02,French Polynesia,0.0,0.0,0.0,NaN,NaN
2020-02,Gabon,0.0,0.0,0.0,NaN,NaN
2020-02,Gambia,0.0,0.0,0.0,NaN,NaN
2020-02,Georgia,0.0,0.0,0.0,NaN,NaN
2020-02,Germany,29.0,4.0,0.0,NaN,0.13793103448275862
2020-02,Ghana,0.0,0.0,0.0,NaN,NaN
2020-02,Gibraltar,0.0,0.0,0.0,NaN,NaN
2020-02,Greece,0.0,0.0,0.0,NaN,NaN
2020-02,Greenland,0.0,0.0,0.0,NaN,NaN
2020-02,Grenada,0.0,0.0,0.0,NaN,NaN
2020-02,Guadeloupe,0.0,0.0,0.0,NaN,NaN
2020-02,Guam,0.0,0.0,0.0,NaN,NaN
2020-02,Guatemala,0.0,0.0,4.0,0.0,NaN
2020-02,Guernsey,0.0,0.0,0.0,NaN,NaN
2020-02,Guinea,0.0,0.0,0.0,NaN,NaN
2020-02,Guinea-Bissau,0.0,0.0,0.0,NaN,NaN
2020-02,Guyana,0.0,0.0,0.0,NaN,NaN
2020-02,Haiti,0.0,0.0,0.0,NaN,NaN
2020-02,High income,1042.0,13.0,0.0,NaN,0.012476007677543186
2020-02,Honduras,0.0,0.0,0.0,NaN,NaN
2020-02,Hong Kong,0.0,0.0,0.0,NaN,NaN
2020-02,Hungary,0.0,0.0,0.0,NaN,NaN
2020-02,Iceland,15.0,0.0,45.0,0.3333333333333333,0.0
2020-02,India,7.0,0.0,0.0,NaN,0.0
2020-02,Indonesia,0.0,0.0,0.0,NaN,NaN
2020-02,Iran,28.0,5.0,0.0,NaN,0.17857142857142858
2020-02,Iraq,0.0,0.0,0.0,NaN,NaN
2020-02,Ireland,0.0,0.0,0.0,NaN,NaN
2020-02,Isle of Man,0.0,0.0,0.0,NaN,NaN
2020-02,Israel,10.0,0.0,826.0,0.012106537530266344,0.0
2020-02,Italy,79.0,2.0,14337.0,0.005510218316244681,0.02531645569620253
2020-02,Jamaica,0.0,0.0,0.0,NaN,NaN
2020-02,Japan,129.0,1.0,1560.0,0.08269230769230769,0.007751937984496124
2020-02,Jersey,0.0,0.0,0.0,NaN,NaN
2020-02,Jordan,0.0,0.0,0.0,NaN,NaN
2020-02,Kazakhstan,0.0,0.0,0.0,NaN,NaN
2020-02,Kenya,0.0,0.0,0.0,NaN,NaN
2020-02,Kiribati,0.0,0.0,0.0,NaN,NaN
2020-02,Kosovo,0.0,0.0,0.0,NaN,NaN
2020-02,Kuwait,0.0,0.0,0.0,NaN,NaN
2020-02,Kyrgyzstan,0.0,0.0,0.0,NaN,NaN
2020-02,Laos,0.0,0.0,0.0,NaN,NaN
2020-02,Latvia,0.0,0.0,116.0,0.0,NaN
2020-02,Lebanon,1.0,0.0,0.0,NaN,0.0
2020-02,Lesotho,0.0,0.0,0.0,NaN,NaN
2020-02,Liberia,0.0,0.0,0.0,NaN,NaN
2020-02,Libya,0.0,0.0,0.0,NaN,NaN
2020-02,Liechtenstein,0.0,0.0,0.0,NaN,NaN
2020-02,Lithuania,0.0,0.0,0.0,NaN,NaN
2020-02,Low income,0.0,0.0,0.0,NaN,NaN
2020-02,Lower middle income,60.0,6.0,0.0,NaN,0.1
2020-02,Luxembourg,0.0,0.0,15.0,0.0,NaN
2020-02,Madagascar,0.0,0.0,0.0,NaN,NaN
2020-02,Malawi,0.0,0.0,0.0,NaN,NaN
2020-02,Malaysia,18.0,0.0,3621.0,0.004971002485501243,0.0
2020-02,Maldives,0.0,0.0,0.0,NaN,NaN
2020-02,Mali,0.0,0.0,0.0,NaN,NaN
2020-02,Malta,0.0,0.0,0.0,NaN,NaN
2020-02,Marshall Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Martinique,0.0,0.0,0.0,NaN,NaN
2020-02,Mauritania,0.0,0.0,0.0,NaN,NaN
2020-02,Mauritius,0.0,0.0,0.0,NaN,NaN
2020-02,Mayotte,0.0,0.0,0.0,NaN,NaN
2020-02,Mexico,1.0,0.0,5102.0,0.0001960015680125441,0.0
2020-02,Micronesia (country),0.0,0.0,0.0,NaN,NaN
2020-02,Moldova,0.0,0.0,0.0,NaN,NaN
2020-02,Monaco,0.0,0.0,0.0,NaN,NaN
2020-02,Mongolia,0.0,0.0,0.0,NaN,NaN
2020-02,Montenegro,0.0,0.0,0.0,NaN,NaN
2020-02,Montserrat,0.0,0.0,0.0,NaN,NaN
2020-02,Morocco,0.0,0.0,7.0,0.0,NaN
2020-02,Mozambique,0.0,0.0,0.0,NaN,NaN
2020-02,Myanmar,0.0,0.0,0.0,NaN,NaN
2020-02,Namibia,0.0,0.0,0.0,NaN,NaN
2020-02,Nauru,0.0,0.0,0.0,NaN,NaN
2020-02,Nepal,0.0,0.0,187.0,0.0,NaN
2020-02,Netherlands,0.0,0.0,0.0,NaN,NaN
2020-02,New Caledonia,0.0,0.0,0.0,NaN,NaN
2020-02,New Zealand,0.0,0.0,0.0,NaN,NaN
2020-02,Nicaragua,0.0,0.0,0.0,NaN,NaN
2020-02,Niger,0.0,0.0,0.0,NaN,NaN
2020-02,Nigeria,0.0,0.0,0.0,NaN,NaN
2020-02,Niue,0.0,0.0,0.0,NaN,NaN
2020-02,North America,42.0,0.0,0.0,NaN,0.0
2020-02,North Korea,0.0,0.0,0.0,NaN,NaN
2020-02,North Macedonia,0.0,0.0,0.0,NaN,NaN
2020-02,Northern Mariana Islands,0.0,0.0,0.0,NaN,NaN
2020-02,Norway,1.0,0.0,0.0,NaN,0.0
2020-02,Oceania,18.0,0.0,0.0,NaN,0.0
2020-02,Oman,0.0,0.0,0.0,NaN,NaN
