location,date,sero_study_participants,avg_seroprevalence
United Kingdom of Great Britain and Northern Ireland,2020-09,995235,0.04059649590297769
United Kingdom of Great Britain and Northern Ireland,2020-10,18380,0.07255848748639829
United Kingdom of Great Britain and Northern Ireland,2020-11,355665,0.0557033936428943
United Kingdom of Great Britain and Northern Ireland,2020-12,79726,0.10616448335549257
United Kingdom of Great Britain and Northern Ireland,2021-01,11526,0.11410489328474753
United Kingdom of Great Britain and Northern Ireland,2021-02,1004514,0.13496975562311725
United Kingdom of Great Britain and Northern Ireland,2021-03,22647,0.26445975625910717
United Kingdom of Great Britain and Northern Ireland,2021-04,6527,0.2687372452888004
United Kingdom of Great Britain and Northern Ireland,2021-05,1048896,0.7102611231237416
United Kingdom of Great Britain and Northern Ireland,2021-06,22231,0.2732664657460303
United Kingdom of Great Britain and Northern Ireland,2021-07,22020,0.7537774296094459
United Kingdom of Great Britain and Northern Ireland,2021-09,8649,0.6241033645508152
United Kingdom of Great Britain and Northern Ireland,2021-10,6578,0.7809176041349954
United Kingdom of Great Britain and Northern Ireland,2021-11,4980,0.5656963855421687
United Kingdom of Great Britain and Northern Ireland,2021-12,5308,0.9236929163526753
United Kingdom of Great Britain and Northern Ireland,2022-01,5362,0.9483433420365535
United Kingdom of Great Britain and Northern Ireland,2022-02,8600,0.9492558139534885
United Kingdom of Great Britain and Northern Ireland,2022-03,8565,0.9598005837711616
United Kingdom of Great Britain and Northern Ireland,2022-04,8566,0.959880784496848
United Kingdom of Great Britain and Northern Ireland,2022-06,2544,0.9499999999999998
United States of America,2019-12,95,0.0003
United States of America,2020-03,15629,0.06437508477829676
United States of America,2020-04,143787,0.07973182832940391
United States of America,2020-05,179032,0.04515854651682381
United States of America,2020-06,820042,0.1150098879081803
United States of America,2020-07,929339,0.03525564589455517
